order_id,product_id,add_to_cart_order,reordered
695,31130,15,0
695,46470,16,0
695,5785,17,1
695,21607,18,0
695,45646,19,0
714,18465,1,0
714,4274,2,0
748,21269,1,1
748,18159,2,1
748,35140,3,1
748,17704,4,0
748,28601,5,1
748,27521,6,1
790,32655,1,1
790,7503,2,1
790,42001,3,1
790,20734,4,1
790,34458,5,1
790,41220,6,0
790,28745,7,1
790,13984,8,0
790,13176,9,1
790,365,10,0
850,10326,1,1
850,25588,2,0
861,22525,1,1
861,32403,2,1
861,16797,3,0
861,7930,4,0
861,28632,5,1
861,6568,6,0
861,39844,7,0
861,42240,8,0
861,17304,9,1
861,15807,10,0
973,1783,1,1
973,41367,2,1
973,4605,3,1
973,43768,4,1
973,22866,5,1
973,6652,6,1
973,23734,7,0
1061,26641,1,1
1061,12342,2,0
1061,48857,3,1
1061,27744,4,1
1061,45774,5,1
1061,41950,6,1
1115,47766,1,1
1115,24852,2,1
1115,3648,3,1
1115,41787,4,1
1115,21333,5,1
1115,5460,6,1
1115,30021,7,1
1115,15497,8,1
1115,5077,9,1
1115,35458,10,1
1115,34668,11,0
1115,6155,12,0
1115,18211,13,0
1115,21553,14,1
1115,42356,15,1
1115,9837,16,0
1115,3539,17,0
1115,21137,18,1
1115,38890,19,0
1115,17758,20,1
1115,16874,21,1
1115,28968,22,1
1115,8194,23,0
1115,40706,24,1
1115,15872,25,1
1115,26798,26,1
1115,27156,27,1
1115,34739,28,0
1115,4137,29,1
1115,29373,30,0
1115,25393,31,0
1115,30106,32,0
1115,28204,33,1
1130,34517,1,1
1130,25466,2,1
1130,14401,3,1
1225,48600,1,0
1225,47766,2,0
1225,8017,3,0
1244,38689,1,1
1244,6631,2,0
1244,248,3,1
1244,41787,4,1
1244,45066,5,1
1250,20815,1,0
1250,2913,2,0
1250,20770,3,0
1268,11520,1,1
1268,4232,2,1
1268,5785,3,1
1268,40363,4,1
1268,21903,5,1
1268,22935,6,1
1268,22663,7,0
1268,1234,8,1
1268,27241,9,1
1268,25513,10,1
1268,8929,11,0
1268,33198,12,1
1268,1063,13,1
1268,46720,14,0
1268,27156,15,1
1268,48058,16,0
1268,43122,17,1
1268,19057,18,0
1268,38456,19,1
1268,32689,20,1
1268,3599,21,1
1268,39549,22,1
1268,28607,23,0
1268,43768,24,1
1268,24184,25,1
1268,3896,26,0
1268,17706,27,1
1268,48848,28,0
1268,39619,29,1
1268,25133,30,1
1268,41720,31,0
1268,33731,32,0
1268,23484,33,0
1326,19691,1,0
1326,4920,2,0
1326,25588,3,1
1326,8048,4,1
1326,30827,5,1
1326,46129,6,0
1326,33768,7,1
1326,21292,8,1
1326,19660,9,1
1326,17122,10,0
1326,9387,11,0
1326,37687,12,0
1349,32478,1,1
1349,13176,2,1
1349,12614,3,1
1349,10761,4,1
1349,21137,5,1
1349,43352,6,1
1349,18078,7,1
1349,36164,8,1
1349,21253,9,1
1349,23854,10,1
1349,6649,11,1
1349,39349,12,1
1349,5876,13,1
1349,9595,14,1
1397,5785,1,1
1397,14651,2,1
1397,47626,3,1
1397,26209,4,1
1397,260,5,1
1437,23023,1,1
1437,459,2,1
1437,24852,3,1
1437,524,4,1
1437,26826,5,1
1437,14612,6,0
1437,19296,7,0
1437,11577,8,0
1437,47626,9,1
1437,38400,10,1
1437,30427,11,1
1437,2588,12,1
1437,4920,13,1
1437,31087,14,1
1437,39027,15,0
1437,33204,16,1
1437,47248,17,1
1437,45066,18,1
1437,39613,19,0
1437,48205,20,0
1437,17261,21,0
1437,31343,22,0
1437,48548,23,0
1437,45200,24,0
1437,4942,25,1
1464,23576,1,1
1464,16398,2,1
1464,19370,3,1
1464,8277,4,1
1464,18434,5,1
1464,11712,6,1
1490,40706,1,1
1490,13083,2,1
1495,12113,1,0
1495,23405,2,0
1495,30021,3,0
1495,24002,4,0
1501,32923,1,0
1501,27966,2,0
1501,27845,3,1
1501,13176,4,1
1502,33754,1,0
1502,17795,2,1
1502,26209,3,1
1502,47144,4,1
1502,35510,5,1
1502,27344,6,1
1502,46676,7,1
1502,49247,8,1
1502,43961,9,1
1502,37766,10,1
1502,24852,11,1
1502,49236,12,1
1502,49683,13,1
1502,26604,14,1
1502,39794,15,1
1502,8424,16,1
1556,11520,1,0
1556,32446,2,0
1556,34358,3,0
1556,1440,4,0
1556,5025,5,1
1556,44142,6,1
1556,21269,7,0
1556,47630,8,0
1556,11262,9,1
1556,48205,10,0
1556,36606,11,0
1556,3896,12,0
1556,44628,13,0
1556,4461,14,0
1556,37357,15,0
1557,1398,1,1
1557,27688,2,0
1557,38959,3,0
1557,25952,4,1
1557,3800,5,1
1557,2305,6,0
1557,46222,7,0
1557,23734,8,0
1557,32331,9,1
1625,10673,1,1
1704,29487,1,1
1704,39877,2,0
1704,28985,3,1
1704,30027,4,0
1704,26209,5,1
1704,46688,6,0
1704,3852,7,0
1704,7314,8,1
1704,43129,9,0
1746,5212,1,1
1746,16797,2,1
1746,44910,3,1
1746,14575,4,1
1746,31683,5,0
1746,41860,6,1
1813,26283,1,0
1813,13318,2,1
1813,34049,3,1
1813,22124,4,1
1813,9810,5,1
1813,19173,6,1
1862,25740,1,1
1862,8859,2,0
1862,1194,3,0
1862,30353,4,0
1938,28805,1,0
1938,21852,2,0
1938,5438,3,0
1938,21333,4,1
1938,35166,5,0
2000,36380,1,0
2000,41483,2,0
2000,11837,3,0
2000,48437,4,0
2000,41434,5,0
2000,34358,6,0
2000,13802,7,1
2000,35365,8,0
2019,24852,1,1
2019,27845,2,1
2019,26165,3,0
2019,22833,4,0
2019,30489,5,0
2019,31040,6,0
2019,13198,7,0
2019,13640,8,0
2038,46061,1,1
2038,13176,2,1
2038,14715,3,1
2038,38928,4,1
2038,47504,5,0
2038,39657,6,1
2059,25832,1,1
2059,49023,2,1
2059,6669,3,0
2059,44830,4,1
2118,39928,1,1
2118,25753,2,1
2118,27845,3,1
2118,8736,4,1
2118,24010,5,1
2118,49235,6,1
2118,9839,7,1
2118,37646,8,1
2118,11512,9,1
2118,22963,10,1
2118,28849,11,1
2118,20842,12,1
2118,30599,13,1
2118,43768,14,1
2118,3957,15,1
2118,47766,16,1
2118,34126,17,1
2118,10749,18,1
2118,1883,19,1
2118,3376,20,1
2118,1000,21,1
2118,2295,22,1
2118,43961,23,1
2118,44560,24,0
2118,45200,25,0
2118,16797,26,1
2142,26209,1,0
2142,35921,2,1
2142,28842,3,1
2142,28083,4,1
2142,14553,5,1
2142,25146,6,1
2142,7644,7,1
2142,42936,8,1
2142,22823,9,0
2142,41290,10,1
2142,2564,11,1
2142,17617,12,0
2142,16254,13,0
2169,30233,1,1
2169,24852,2,1
2169,42450,3,1
2169,5646,4,1
2169,11182,5,1
2169,19677,6,1
2169,5450,7,1
2169,13702,8,1
2169,15700,9,1
2169,30489,10,1
2169,26209,11,1
2169,31717,12,1
2169,46676,13,1
2169,16757,14,1
2169,7649,15,1
2169,48174,16,1
2169,45007,17,1
2169,49401,18,0
2169,29256,19,0
2169,36735,20,0
2169,45544,21,0
2169,38382,22,0
2169,21137,23,0
2169,10749,24,0
2240,27531,1,1
2240,37646,2,1
2240,29974,3,1
2240,38205,4,1
2240,19057,5,1
2240,6000,6,1
2240,48845,7,1
2240,5134,8,0
2240,48057,9,0
2240,47610,10,1
2240,41750,11,0
2240,40706,12,1
2240,7916,13,1
2243,6177,1,1
2243,28582,2,0
2265,27730,1,1
2265,30494,2,1
2265,9438,3,1
2265,43988,4,1
2265,11140,5,1
2265,30489,6,1
2265,41860,7,1
2265,32486,8,1
2265,9799,9,1
2265,24852,10,1
2265,42828,11,1
2265,26800,12,0
2265,3398,13,1
2285,23644,1,1
2285,41950,2,1
2285,13176,3,1
2285,1103,4,0
2285,26384,5,1
2360,38714,1,1
2360,24852,2,1
2360,4210,3,1
2360,5210,4,0
2360,45877,5,1
2360,12212,6,0
2360,23549,7,0
2360,39247,8,0
2360,39545,9,1
2360,2170,10,0
2395,41408,1,1
2395,39475,2,1
2473,12341,1,1
2473,25170,2,1
2600,16291,1,1
2600,4799,2,1
2600,23734,3,1
2600,14870,4,1
2600,39430,5,0
2600,38077,6,0
2600,5911,7,0
2623,43154,1,1
2623,40706,2,1
2623,19398,3,1
2623,45104,4,1
2623,5463,5,1
2623,35986,6,0
2623,34658,7,1
2623,39190,8,1
2623,19677,9,0
2623,16521,10,1
2623,42536,11,1
2623,21038,12,1
2659,31720,1,1
2659,33000,2,1
2659,27744,3,1
2659,24964,4,0
2659,21367,5,1
2659,11422,6,0
2659,21903,7,1
2659,47209,8,1
2696,14634,1,1
2696,28993,2,1
2696,42736,3,1
2696,5782,4,1
2696,13176,5,1
2771,3098,1,0
2771,36606,2,0
2771,43961,3,0
2771,24852,4,0
2771,10070,5,1
2771,21903,6,1
2807,41780,1,1
2807,44536,2,1
2807,27482,3,1
2807,10755,4,1
2807,49144,5,1
2807,15820,6,1
2807,39041,7,1
2807,46844,8,1
2807,25745,9,1
2807,27629,10,1
2807,37354,11,1
2807,17615,12,1
2807,32271,13,1
2807,1117,14,1
2807,8193,15,1
2807,44595,16,1
2824,11520,1,1
2824,435,2,1
2824,5746,3,1
2824,38067,4,1
2824,20995,5,1
2824,27531,6,1
2824,34530,7,1
2824,26165,8,1
2824,21334,9,1
2824,35176,10,0
2825,27845,1,1
2825,44359,2,1
2825,34262,3,1
2825,42706,4,1
2825,8197,5,1
2825,23282,6,1
2825,14477,7,1
2825,4066,8,1
2825,13176,9,1
2911,25005,1,0
2911,21903,2,1
2911,26209,3,1
2911,47766,4,1
2911,28842,5,0
2911,45448,6,0
2911,4605,7,0
2911,29675,8,1
2911,21938,9,0
2911,35939,10,0
2911,5373,11,1
2911,7021,12,1
2911,9092,13,0
2911,42768,14,1
2911,5025,15,0
2918,17008,1,0
2918,35752,2,0
2918,20378,3,1
2918,47100,4,0
2918,4347,5,1
2918,2691,6,0
2918,22395,7,0
3008,14161,1,1
3008,32747,2,1
3008,29615,3,1
3008,12513,4,1
3008,22017,5,1
3008,11331,6,1
3008,14111,7,1
3008,38448,8,1
3008,27323,9,0
3008,8193,10,0
3008,28204,11,0
3008,43886,12,1
3008,23549,13,0
3008,30721,14,0
3008,48871,15,0
3008,38318,16,0
3008,46041,17,0
3008,41220,18,0
3008,28232,19,0
3008,45500,20,1
3008,23341,21,1
3008,15290,22,0
3008,32429,23,1
3008,24852,24,0
3008,2778,25,0
3069,14218,1,0
3069,38293,2,0
3069,47766,3,1
3069,21903,4,1
3069,37687,5,0
3069,28985,6,0
3069,8809,7,0
3069,22935,8,0
3069,42585,9,0
3069,9092,10,0
3069,48775,11,0
3069,28849,12,0
3069,890,13,1
3069,46260,14,1
3069,15438,15,0
3069,29996,16,0
3069,11477,17,0
3069,34243,18,0
3069,21938,19,1
3069,10749,20,0
3069,12748,21,0
3134,31662,1,1
3134,1942,2,1
3134,23178,3,0
3134,49383,4,1
3134,38419,5,0
3134,16349,6,0
3134,39984,7,0
3134,16759,8,1
3134,17794,9,0
3235,13536,1,1
3235,41777,2,0
3235,40332,3,1
3235,41961,4,0
3235,25146,5,0
3389,13176,1,1
3389,33198,2,1
3389,27966,3,1
3389,24489,4,1
3389,49610,5,1
3389,18376,6,1
3389,13085,7,1
3389,19478,8,1
3389,36695,9,1
3389,27156,10,1
3389,890,11,1
3389,21903,12,1
3389,39877,13,1
3389,12872,14,1
3389,46979,15,1
3389,17281,16,1
3389,38275,17,1
3389,5876,18,1
3389,26882,19,1
3425,9020,1,0
3425,5134,2,1
3425,40604,3,1
3425,17794,4,1
3425,47912,5,0
3425,43662,6,0
3425,36865,7,0
3425,33135,8,1
3425,45608,9,0
3425,44961,10,0
3425,9177,11,0
3425,28228,12,1
3425,16185,13,1
3425,3682,14,0
3438,8021,1,0
3438,2487,2,0
3438,9825,3,0
3438,44883,4,0
3438,23909,5,1
3438,48684,6,1
3438,1999,7,1
3438,28590,8,1
3438,5653,9,0
3438,31257,10,0
3485,41950,1,0
3485,21137,2,1
3485,43961,3,1
3485,2825,4,1
3485,45,5,1
3485,24759,6,1
3485,47209,7,1
3485,35921,8,1
3485,10369,9,1
3485,46676,10,1
3485,39475,11,1
3485,48364,12,1
3546,19057,1,1
3546,38689,2,1
3546,27845,3,1
3546,38164,4,1
3546,24852,5,1
3546,43122,6,1
3546,42736,7,0
3546,2350,8,0
3546,10944,9,0
3546,3843,10,0
3546,32052,11,0
3546,39121,12,0
3632,36695,1,0
3642,5782,1,1
3642,8224,2,0
3642,39211,3,0
3642,37766,4,1
3642,13578,5,0
3642,21330,6,1
3642,5077,7,1
3694,23288,1,1
3709,29938,1,1
3709,19348,2,1
3709,7901,3,1
3709,23037,4,1
3709,34492,5,1
3709,23580,6,1
3864,39408,1,1
3864,20084,2,1
3864,30420,3,1
3864,14233,4,0
3891,16349,1,1
3891,23102,2,1
3891,21573,3,1
3891,19578,4,1
3891,26384,5,1
3891,21417,6,1
3891,19626,7,0
3891,10598,8,1
3891,13517,9,1
3891,24142,10,1
3891,43085,11,0
3891,47357,12,0
3904,23115,1,0
3904,37557,2,0
3904,39928,3,1
3904,1511,4,1
3904,8277,5,1
3904,48437,6,0
3904,45249,7,1
3904,10082,8,1
3904,49169,9,1
3904,44670,10,1
3904,23594,11,0
3904,47209,12,1
3947,44282,1,0
3947,22512,2,1
3947,16882,3,1
3947,38739,4,0
3947,48347,5,1
3947,33647,6,1
3947,23594,7,1
3947,27521,8,1
3947,13176,9,1
3947,30385,10,1
3947,5646,11,1
3947,46294,12,1
3947,23634,13,0
3947,26504,14,0
4022,8197,1,1
4022,27845,2,1
4022,22825,3,1
4022,37646,4,1
4022,33381,5,1
4022,22365,6,1
4022,30489,7,1
4022,14332,8,1
4022,46720,9,1
4022,18140,10,1
4022,45123,11,1
4022,49248,12,0
4022,8277,13,1
4022,19057,14,1
4022,33055,15,0
4022,38886,16,1
4022,13176,17,1
4022,46584,18,1
4022,21137,19,1
4022,17284,20,1
4066,10898,1,1
4066,14852,2,1
4066,22124,3,1
4066,7690,4,1
4066,1194,5,1
4066,16759,6,1
4066,5100,7,1
4066,36360,8,1
4066,21709,9,1
4066,9076,10,1
4066,27966,11,1
4066,11668,12,1
4066,13176,13,1
4088,21903,1,1
4088,21616,2,1
4088,45066,3,1
4088,6347,4,1
4088,33195,5,1
4088,2086,6,0
4088,48679,7,1
4088,24852,8,0
4088,45007,9,1
4088,21137,10,1
4088,19057,11,1
4119,3098,1,0
4119,14233,2,1
4119,34126,3,1
4119,28842,4,1
4119,4605,5,1
4119,42701,6,1
4119,10180,7,0
4119,41238,8,1
4119,40706,9,1
4119,43904,10,0
4119,20114,11,1
4119,44142,12,0
4119,46667,13,1
4119,10110,14,0
4119,46962,15,1
4119,48697,16,0
4119,34969,17,1
4119,30480,18,1
4119,11408,19,1
4119,24964,20,1
4119,1463,21,0
4119,25659,22,1
4119,39265,23,0
4119,6104,24,0
4119,13984,25,1
4221,26346,1,1
4221,31553,2,0
4221,24852,3,0
4221,16589,4,0
4221,38266,5,0
4221,29307,6,0
4221,25640,7,1
4221,49683,8,0
4221,40945,9,0
4221,44142,10,0
4221,49644,11,0
4221,18276,12,0
4221,35616,13,0
4221,1516,14,0
4221,21405,15,0
4242,1117,1,1
4242,25985,2,1
4242,47305,3,1
4242,21927,4,1
4242,5918,5,1
4242,46572,6,1
4242,45437,7,0
4242,12099,8,0
4294,27730,1,1
4294,12381,2,1
4294,24852,3,1
4294,30494,4,1
4294,11140,5,1
4294,46069,6,1
4294,40001,7,1
4294,30489,8,1
4294,41860,9,1
4294,46496,10,1
4294,9438,11,1
4294,21890,12,1
4294,43988,13,1
4294,46969,14,1
4294,28204,15,1
4294,42828,16,0
4294,21174,17,0
4345,33147,1,0
4345,43352,2,0
4345,6878,3,0
4345,43154,4,0
4345,4724,5,0
4345,42282,6,0
4364,47576,1,0
4364,12341,2,1
4364,19887,3,1
4364,5161,4,1
4364,39657,5,1
4364,37710,6,1
4364,40939,7,1
4365,18127,1,1
4365,38371,2,1
4365,44660,3,0
4365,859,4,0
4365,42976,5,0
4365,3045,6,1
4365,33439,7,0
4365,24199,8,0
4365,15613,9,0
4401,38400,1,0
4401,9472,2,0
4401,38266,3,1
4401,4086,4,1
4401,3481,5,1
4401,38159,6,0
4401,25640,7,0
4401,25890,8,0
4401,41844,9,1
4401,27845,10,1
4401,36695,11,1
4422,37250,1,0
4471,141,1,1
4471,10749,2,1
4471,42768,3,0
4471,24396,4,0
4471,691,5,1
4471,41844,6,0
4471,28476,7,0
4471,42585,8,1
4471,15028,9,0
4585,35221,1,1
4585,44632,2,1
4585,4487,3,1
4585,48637,4,1
4585,49075,5,1
4585,93,6,1
4585,40706,7,1
4585,35939,8,0
4585,21616,9,0
4585,10246,10,0
4585,16759,11,0
4585,48364,12,0
4585,12341,13,0
4585,14129,14,0
4618,38241,1,1
4618,42416,2,1
4618,28635,3,1
4618,24852,4,1
4618,4562,5,1
4618,29675,6,1
4618,40332,7,0
4618,48775,8,0
4618,14863,9,1
4618,42356,10,0
4618,3880,11,0
4618,35221,12,0
4618,44632,13,0
4618,44926,14,0
4618,47229,15,0
4618,30057,16,1
4618,15937,17,0
4618,14992,18,0
4618,4605,19,0
4618,1408,20,0
4618,47684,21,0
4618,32624,22,0
4618,46935,23,0
4618,14897,24,0
4618,7042,25,0
4618,35042,26,0
4618,812,27,0
4634,19115,1,1
4634,1194,2,1
4634,13176,3,1
4634,27966,4,1
4634,38562,5,1
4634,9076,6,1
4634,30353,7,0
4634,35233,8,0
4639,48287,1,1
4639,27845,2,1
4639,44669,3,1
4639,47804,4,0
4639,8834,5,1
4639,47610,6,1
4639,9186,7,0
4639,35467,8,1
4764,24852,1,1
4764,23909,2,1
4764,28204,3,1
4764,4377,4,1
4764,19511,5,1
4764,21206,6,1
4764,47144,7,1
4764,39581,8,1
4779,37288,1,1
4779,33135,2,1
4779,37646,3,1
4779,29506,4,1
4779,17429,5,1
4779,24852,6,1
4779,45210,7,1
4779,32734,8,0
4779,26751,9,0
4783,24852,1,1
4783,40571,2,1
4783,30082,3,1
4783,3318,4,1
4783,40287,5,1
4783,15424,6,1
4783,16376,7,1
4783,47570,8,1
4783,27388,9,1
4783,994,10,0
4783,19488,11,1
4783,2245,12,0
4783,33664,13,0
4783,42023,14,0
4783,31618,15,1
4853,33000,1,1
4853,10473,2,1
4894,26317,1,0
4894,37215,2,0
5006,17311,1,1
5006,34534,2,1
5006,22124,3,1
5006,26396,4,1
5006,19173,5,1
5006,3318,6,1
5039,29503,1,1
5039,43631,2,1
5039,44560,3,1
5039,40287,4,0
5039,35898,5,1
5039,5857,6,0
5039,32156,7,0
5039,26317,8,1
5039,21265,9,0
5039,6286,10,0
5039,18557,11,0
5039,16185,12,1
5039,43867,13,0
5039,43262,14,0
5039,36854,15,0
5039,27418,16,0
5039,13145,17,0
5039,48667,18,0
5039,1648,19,1
5039,22236,20,1
5039,3260,21,0
5039,27652,22,0
5039,11461,23,0
5086,28204,1,1
5086,24852,2,1
5086,44422,3,0
5086,22031,4,0
5086,28985,5,1
5086,4605,6,1
5086,33438,7,1
5086,26209,8,1
5086,31717,9,1
5086,9472,10,1
5086,45007,11,1
5086,44514,12,1
5086,37524,13,1
5086,3252,14,0
5086,26172,15,1
5086,5618,16,1
5086,8424,17,1
5086,16797,18,1
5086,43122,19,1
5086,38159,20,1
5165,40706,1,1
5165,16650,2,1
5165,49005,3,1
5165,39275,4,1
5165,35939,5,1
5165,12099,6,1
5165,17461,7,1
5165,29346,8,1
5227,15290,1,1
5227,37971,2,1
5227,19057,3,1
5227,5212,4,1
5227,10246,5,1
5227,40706,6,1
5227,44795,7,1
5227,37552,8,1
5227,28590,9,1
5227,24288,10,0
5227,16083,11,1
5227,21334,12,1
5310,21616,1,1
5310,33352,2,1
5310,5876,3,1
5310,47977,4,1
5310,26949,5,1
5310,9058,6,1
5310,14355,7,1
5310,30707,8,1
5310,2471,9,1
5310,49383,10,1
5310,3098,11,1
5310,16042,12,0
5310,36809,13,0
5310,13280,14,0
5310,40847,15,0
5310,31267,16,0
5310,38231,17,0
5310,3464,18,0
5310,48775,19,0
5341,35045,1,1
5341,10279,2,0
5341,9120,3,0
5341,19863,4,0
5341,27246,5,1
5341,27801,6,1
5341,46842,7,1
5352,41663,1,0
5352,19950,2,0
5352,19322,3,1
5352,43394,4,1
5352,24852,5,1
5352,35504,6,1
5352,32566,7,1
5352,17902,8,1
5352,35626,9,1
5352,27966,10,1
5410,11075,1,0
5410,41488,2,1
5410,31958,3,1
5410,16818,4,0
5410,21288,5,0
5410,29892,6,0
5423,25659,1,1
5423,37947,2,1
5423,10768,3,1
5423,18811,4,1
5423,25157,5,1
5423,24184,6,1
5423,9596,7,1
5423,39928,8,1
5423,24852,9,1
5423,21137,10,1
5423,25527,11,1
5423,30388,12,1
5423,41349,13,1
5482,18963,1,0
5542,5984,1,0
5542,10273,2,0
5542,8670,3,0
5542,38797,4,1
5546,1449,1,0
5546,18379,2,0
5546,34195,3,0
5546,47866,4,0
5546,2519,5,0
5546,2639,6,0
5546,46817,7,0
5546,23106,8,0
5673,22802,1,0
5729,34530,1,0
5729,8277,2,1
5729,45633,3,1
5729,42300,4,1
5729,5240,5,1
5729,21903,6,1
5729,5077,7,1
5729,43122,8,1
5729,43768,9,1
5729,19057,10,1
5729,27344,11,1
5733,30489,1,0
5733,25824,2,0
5733,47766,3,0
5733,16882,4,0
5733,25513,5,0
5733,23630,6,0
5733,13280,7,0
5733,33120,8,0
5733,5450,9,0
5733,14133,10,0
5733,45123,11,0
5733,24852,12,0
5733,33768,13,0
5733,30391,14,0
5771,24253,1,1
5771,30982,2,1
5771,35045,3,0
5771,39261,4,0
5771,35264,5,0
5771,44961,6,0
5771,11247,7,0
5771,16557,8,0
5771,45002,9,0
5771,47788,10,0
5771,20842,11,0
5771,23879,12,0
5771,13512,13,0
5771,22825,14,0
5771,25340,15,0
5771,32303,16,0
5771,42585,17,0
5813,19415,1,0
5813,37792,2,0
5813,28204,3,1
5813,3166,4,1
5813,22425,5,1
5813,10351,6,1
5813,38250,7,1
5813,29447,8,1
5813,9339,9,1
5844,31651,1,1
5844,37710,2,1
5844,6369,3,1
5844,32403,4,1
5907,40332,1,1
5907,14233,2,1
5907,17140,3,1
5907,12070,4,1
5907,49520,5,1
5907,21709,6,1
5907,15802,7,0
5907,44142,8,1
5907,39275,9,1
5907,21946,10,1
5907,47766,11,1
5907,33065,12,1
5907,17634,13,0
5919,21137,1,1
5919,14233,2,1
5919,27690,3,1
5919,27344,4,1
5919,32420,5,1
5919,7647,6,1
5919,26790,7,1
5919,2825,8,1
5919,17122,9,0
5919,8348,10,0
6039,28199,1,1
6039,22151,2,1
6039,25146,3,1
6039,41406,4,0
6039,24852,5,1
6039,19734,6,0
6039,9015,7,0
6039,39921,8,0
6039,11571,9,0
6043,16759,1,1
6043,34243,2,1
6043,5764,3,1
6043,32585,4,1
6043,42536,5,1
6043,5463,6,1
6043,39128,7,1
6043,34658,8,1
6043,23543,9,1
6043,18184,10,1
6043,5876,11,1
6043,23485,12,1
6043,40199,13,1
6043,21038,14,1
6043,42183,15,1
6043,38164,16,1
6043,37276,17,1
6043,24489,18,1
6043,4835,19,1
6043,45906,20,0
6043,34126,21,1
6043,45007,22,1
6043,47209,23,1
6043,5134,24,1
6043,9177,25,0
6043,44278,26,0
6087,41290,1,1
6087,11081,2,1
6087,5375,3,0
6087,18960,4,0
6087,2872,5,0
6087,10255,6,0
6087,19202,7,0
6087,14233,8,1
6087,8475,9,1
6087,43631,10,1
6087,44167,11,0
6107,13292,1,1
6107,29270,2,1
6107,20084,3,1
6107,14233,4,1
6107,40462,5,1
6165,3389,1,1
6165,47884,2,1
6165,22124,3,1
6165,3957,4,1
6165,19156,5,1
6165,1559,6,1
6165,33754,7,1
6165,13351,8,1
6165,13913,9,1
6165,24109,10,0
6165,43965,11,0
6165,47138,12,0
6241,49610,1,0
6241,49683,2,0
6241,23339,3,1
6241,39993,4,1
6241,46979,5,1
6241,5642,6,1
6241,48407,7,1
6241,6541,8,1
6241,38689,9,1
6241,16797,10,1
6241,14491,11,1
6241,43875,12,1
6241,5114,13,1
6241,34134,14,1
6241,11777,15,1
6241,4605,16,1
6241,47766,17,1
6241,13629,18,1
6254,47626,1,1
6254,34270,2,1
6254,48559,3,1
6319,19613,1,1
6319,31073,2,1
6319,10246,3,1
6319,24964,4,1
6319,42134,5,1
6319,9839,6,1
6319,15200,7,1
6319,2309,8,1
6319,18880,9,0
6319,49267,10,0
6319,39928,11,1
6319,21408,12,1
6319,8277,13,1
6319,27104,14,1
6319,30391,15,1
6319,18234,16,1
6319,5373,17,0
6319,17862,18,1
6319,890,19,0
6319,18479,20,0
6319,16823,21,1
6319,39275,22,1
6319,27241,23,0
6326,27796,1,1
6326,41131,2,1
6326,8329,3,0
6326,21936,4,1
